X,Y,NAME
235849.821900003,892475.9276,Dorchester Ave @ Van Winkle St
236371.501100004,892481.72,Gallivan Blvd @ Adams St
230300.012800001,892485.329500001,Washington St @ Durnell Ave
235361.554799996,892488.781500001,Washington St @ Fuller St
235852.562100001,892489.062800001,Dorchester Ave @ Hurlcroft Ave
227983.374499999,892496.625,Lagrange St @ Westmount Ave
234121.693499997,892500.315400001,Norfolk St @ Morton St
236427.534299999,892503.4487,Gallivan Blvd @ Frederika St
233652.901100002,892504.242600001,Blue Hill Ave @ Woolson St
227979.142300002,892506.033300001,Lagrange St @ Westmount Ave
231436.086499996,892506.328400001,510 Hyde Park Ave
231776.218500003,892513.001899999,American Legion Hwy @ Mt Hope St
233637.411,892515.9595,Blue Hill Ave @ Goodale Rd
221765.700599998,892526.246300001,Highland Ave @ May St
221765.823899999,892535.4322,Highland Ave @ May St
236650.339400001,892537.959,Granite Ave @ Gallivan Blvd
236649.187,892541.312899999,Granite Ave @ Gallivan Blvd
237346.664700001,892547.2355,Hallet St @ Florian Hall
237346.664700001,892547.2355,55 Hallet St opp Florian Hall
236560.1281,892548.198800001,Gallivan Blvd @ Kenmere Rd
234207.690700002,892550.467700001,Norfolk St @ Willowwood St
231021.0933,892553.9102,Cummins Hwy @ Sherwood St
233909.716700003,892568.329100002,Morton St @ Wildwood St
228273.062100001,892568.5625,Centre St Opp Mt Vernon St
231008.937200002,892570.8752,93 Cummins Hwy opp Sherwood St
233907.130400002,892572.657,Morton St @ Wildwood St
236633.046700001,892578.1252,Adams St @ Gallivan Blvd
236754.375299998,892580.002900001,Gallivan Blvd @ Ross Rd
231425.904,892582.119600002,515 Hyde Park Ave
227265.757799998,892589.5691,Baker St @ Varick Rd
227263.624700002,892598.634199999,Baker St opp Varick Rd
230395.533399999,892605.620200001,Washington St @ Albano St
235350.12,892610.1413,Washington St @ Stockton St
230407.680100001,892621.011700001,Washington St @ Albano St
228921.609499998,892625.8968,101 Anawan Ave opp Allenwood St
236979.118600003,892629.797800001,Gallivan Blvd @ Woodfield St
