X,Y,STATION,LINE,TERMINUS,ROUTE
232658.022500001,898306.8794,Brigham Circle,GREEN,N,E - Health Street
239200.2667,904326.013500001,Eastern Ave,SILVER,N,SL3
238823.606299996,904952.475099999,Box District,SILVER,N,SL3
238411.0682,905093.019299999,Bellingham Sq,SILVER,N,SL3
237840.003,905245.4056,Chelsea,SILVER,Y,SL3
238725.474399999,902734.3365,Airport,SILVER,N,SL3
232500.093699999,898214.437199999,Fenwood Road,GREEN,N,E - Health Street
232175.733099997,898150.075599998,Mission Park,GREEN,N,E - Health Street
231981.3741,898015.7403,Riverway,GREEN,N,E - Health Street
232055.105800003,897756.182399999,Back Of The Hill,GREEN,N,E - Health Street
232120.839400001,897609.086800002,Heath Street,GREEN,Y,E - Health Street
234003.161,899802.945500001,Hynes Convention Center,GREEN,N,B C D
232952.740199998,899932.989100002,Blandford Street,GREEN,N,B - Boston College
232592.220799997,899989.408799998,Boston University East,GREEN,N,B - Boston College
